weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
AUG,30,0.1,0.0,75.28666666666668,73.39,77.39,0.0,0.0,2.0,0.0,0.0,1.0,0.0,hzhazi
Beryl M762,6,0.167,0.0,1.85,1.85,1.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,hzhazi
AKM,70,0.086,0.0,29.22666666666667,20.74,37.87,0.0,0.0,2.0,2.0,1.0,1.0,0.0,DaFeiMiao520
MP5K,299,0.067,0.23076923076923078,35.847307692307695,10.95,88.82,8.0,0.0,11.0,2.0,3.0,2.0,0.0,BSK-ZUOGeGe
ACE32,11,0.091,0.0,2.52,2.52,2.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,o8z7
AUG,162,0.117,0.2962962962962963,26.88148148148148,10.57,52.12,5.0,0.0,12.0,4.0,2.0,4.0,0.0,o8z7
Beryl M762,100,0.02,0.7142857142857143,42.565714285714286,18.81,61.23,3.0,0.0,3.0,0.0,0.0,1.0,0.0,o8z7
Frag Grenade,2,1.0,0.0,16.095,15.14,17.05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,o8z7
Vector,86,0.116,0.5652173913043478,10.544782608695652,0.99,32.92,1.0,0.0,15.0,3.0,4.0,0.0,0.0,o8z7
AUG,117,0.137,0.5,9.675,2.86,50.0,4.0,0.0,21.0,0.0,7.0,0.0,0.0,wangyanyaoshuai
Mk12,13,0.154,0.0,1.76,1.69,1.83,0.0,0.0,1.0,0.0,1.0,0.0,0.0,wangyanyaoshuai
UMP45,31,0.032,0.75,25.96,25.27,26.94,0.0,0.0,2.0,1.0,0.0,1.0,0.0,liuliang8866
Beryl M762,29,0.172,0.0,15.072,7.05,21.9,0.0,0.0,2.0,1.0,0.0,2.0,0.0,xueshourentu12
M416,35,0.143,0.6428571428571429,20.263571428571428,1.06,51.62,1.0,0.0,4.0,4.0,0.0,5.0,0.0,xueshourentu12
Frag Grenade,1,1.0,0.0,30.65,30.65,30.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,woshixiaoming11
MP5K,47,0.064,0.0,10.836666666666666,10.76,10.98,0.0,0.0,3.0,0.0,0.0,0.0,0.0,woshixiaoming11
MP5K,39,0.103,0.2,21.976,1.33,29.13,1.0,0.0,2.0,0.0,1.0,1.0,0.0,faq0613
UMP45,30,0.2,0.4,36.799,35.98,38.04,0.0,0.0,5.0,1.0,1.0,3.0,0.0,faq0613
Vector,132,0.106,0.4166666666666667,21.358333333333334,6.48,44.18,4.0,0.0,14.0,2.0,2.0,2.0,0.0,FKY-killer
AKM,136,0.066,0.6086956521739131,13.830434782608696,1.41,50.65,2.0,0.0,16.0,1.0,3.0,1.0,0.0,dtsd8s7711
Beryl M762,121,0.058,0.3,60.75600000000001,23.18,114.09,0.0,0.0,5.0,3.0,0.0,2.0,0.0,dtsd8s7711
Beryl M762,124,0.048,0.25,40.61125,37.14,49.33,0.0,0.0,4.0,0.0,1.0,3.0,0.0,DouYu-qzz
M24,21,0.238,0.0,131.118,108.56,149.65,0.0,0.0,1.0,0.0,2.0,2.0,0.0,DouYu-qzz
Mk12,4,0.75,0.0,153.18,153.18,153.18,0.0,0.0,2.0,0.0,0.0,1.0,0.0,lengran12
MP5K,162,0.123,0.6610169491525424,6.76135593220339,0.73,35.1,3.0,0.0,33.0,9.0,3.0,11.0,0.0,chen080101
UMP45,18,0.278,0.0,6.448,2.86,12.09,1.0,0.0,1.0,0.0,0.0,3.0,0.0,ZHANG981119
ACE32,32,0.094,0.8333333333333334,16.24277777777778,16.19,16.34,1.0,0.0,5.0,4.0,0.0,8.0,0.0,WAQINGHA
ACE32,93,0.065,0.0,10.785000000000002,4.67,35.49,0.0,0.0,4.0,2.0,0.0,0.0,0.0,NanbuBlackWater
Frag Grenade,3,0.333,0.0,56.76,56.76,56.76,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NanbuBlackWater
Kar98k,18,0.333,0.0,127.32,90.38,147.39,0.0,0.0,3.0,1.0,1.0,1.0,0.0,NanbuBlackWater
SCAR-L,13,0.154,0.0,100.44999999999999,100.3,100.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,NineStreet_GGE
Beryl M762,34,0.0,1.0,6.75,6.69,6.87,0.0,0.0,3.0,0.0,0.0,0.0,0.0,a77b88c9
DP-28,55,0.091,0.0,56.91799999999999,53.37,60.55,1.0,0.0,2.0,1.0,0.0,1.0,0.0,a77b88c9
M249,25,0.08,0.6666666666666666,10.948333333333332,10.79,11.31,4.0,0.0,1.0,0.0,1.0,0.0,0.0,a77b88c9
Mk12,12,0.083,0.5,144.525,144.33,144.72,0.0,0.0,1.0,0.0,0.0,1.0,0.0,a77b88c9
M416,79,0.038,0.0,52.150000000000006,30.88,64.26,0.0,0.0,0.0,0.0,1.0,2.0,0.0,Kuxun188shuaige
M416,40,0.0,1.0,37.45333333333333,35.18,38.4,0.0,0.0,4.0,0.0,2.0,0.0,0.0,Subm1T-
Mk12,5,0.2,0.0,57.19,57.19,57.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Subm1T-
ACE32,67,0.104,0.4166666666666667,9.253333333333334,2.93,25.39,2.0,0.0,9.0,0.0,1.0,0.0,0.0,DDDDDKJk
Beryl M762,47,0.021,0.0,46.52,46.52,46.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,kikyou_259
Kar98k,13,0.154,0.0,170.825,140.34,201.31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,kikyou_259
Kar98k,10,0.1,0.0,153.92,153.92,153.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yangjiujiuer
MG3,109,0.009,0.6666666666666666,44.64333333333334,39.98,47.78,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Yangjiujiuer
Mk47 Mutant,5,0.2,0.0,71.47,71.47,71.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,cutelion
Beryl M762,53,0.132,0.72,1.5256,0.86,6.52,2.0,0.0,16.0,4.0,1.0,2.0,0.0,nu1u
Beryl M762,116,0.043,0.16666666666666666,62.528333333333336,55.73,76.14,1.0,0.0,2.0,0.0,1.0,2.0,0.0,969-HXG
Kar98k,14,0.071,0.5,295.35,277.1,313.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,969-HXG
M24,6,0.333,0.0,119.595,109.52,129.67,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Cola-138
M249,260,0.019,0.0,115.14200000000001,85.73,128.35,2.0,0.0,1.0,0.0,1.0,1.0,0.0,Cola-138
Mk12,70,0.029,0.0,349.33,204.13,494.53,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Gelou_youheimao
Mk14,20,0.2,0.42857142857142855,111.54714285714286,85.73,126.07,2.0,0.0,2.0,2.0,0.0,1.0,0.0,Gelou_youheimao
Beryl M762,9,0.0,1.0,16.366666666666667,16.11,16.45,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Bili_912616
MP5K,47,0.064,0.8333333333333334,30.452777777777776,29.52,31.12,3.0,0.0,5.0,2.0,5.0,3.0,0.0,Bili_912616
Frag Grenade,3,0.667,0.0,50.375,47.77,52.98,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Jie-Bao-Awm-98K
MP5K,77,0.013,0.0,86.43,86.43,86.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jie-Bao-Awm-98K
VSS,92,0.022,0.0,173.29500000000002,173.29,173.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Jie-Bao-Awm-98K
AUG,40,0.05,0.0,26.495,26.17,26.82,1.0,0.0,1.0,0.0,0.0,0.0,0.0,qozB2bOS
Thompson,27,0.037,0.0,89.66,89.66,89.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,qozB2bOS
AUG,26,0.269,0.36363636363636365,13.69818181818182,10.47,20.22,2.0,0.0,8.0,0.0,1.0,0.0,0.0,kib7qcz
Mk12,8,0.125,0.0,38.33,38.33,38.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,kib7qcz
Beryl M762,24,0.042,0.0,19.47,19.47,19.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,WeirdoA-1
Beryl M762,6,0.0,1.0,5.385,5.36,5.41,0.0,0.0,1.0,1.0,0.0,0.0,0.0,ortussolookiz88
Frag Grenade,2,1.0,0.0,75.08000000000001,73.43,76.73,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Ngbsk
MP5K,131,0.038,0.0,24.976,10.31,33.39,0.0,0.0,4.0,1.0,0.0,0.0,0.0,Ngbsk
SCAR-L,122,0.033,0.2,42.826,33.28,74.31,1.0,0.0,2.0,1.0,1.0,0.0,0.0,R-HaimianBB
AUG,170,0.071,0.6923076923076923,17.52897435897436,3.79,37.29,9.0,0.0,19.0,0.0,3.0,8.0,0.0,jiao-tan-shiyu
Frag Grenade,3,0.333,0.0,16.92,16.92,16.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,jiao-tan-shiyu
Mk12,18,0.111,0.75,70.79625,66.82,72.61,0.0,0.0,6.0,1.0,0.0,1.0,0.0,jiao-tan-shiyu
Kar98k,6,0.167,0.0,103.74,103.74,103.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,PrudencetDelia
Mk12,30,0.033,0.0,2.22,2.22,2.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,miaoPS_THuang
M16A4,27,0.037,0.0,28.93,28.93,28.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4AM_Axib
AUG,28,0.071,0.3333333333333333,42.36666666666667,41.42,43.95,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Sir-Chow
Mk12,35,0.143,0.0,108.454,60.71,183.64,2.0,0.0,2.0,0.0,1.0,0.0,0.0,Sir-Chow
Frag Grenade,2,0.5,0.5,11.92,11.64,12.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Wangmengmeng__
MP5K,217,0.037,0.0,42.00375,15.03,55.77,0.0,0.0,6.0,1.0,1.0,0.0,0.0,Wangmengmeng__
M416,67,0.075,0.375,33.52125,23.06,106.03,2.0,0.0,4.0,0.0,1.0,1.0,0.0,CZR9527
Mk12,43,0.07,0.0,144.08,101.06,212.49,0.0,0.0,2.0,0.0,1.0,0.0,0.0,CZR9527
AUG,108,0.083,0.0,28.003333333333334,12.31,33.91,0.0,0.0,7.0,0.0,0.0,2.0,0.0,BiLi729730481
Beryl M762,44,0.023,0.6666666666666666,15.08,2.86,39.52,0.0,0.0,0.0,1.0,2.0,0.0,0.0,A-LiYi-21
Mk47 Mutant,16,0.062,0.0,56.95,56.95,56.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CN62539
Mk47 Mutant,11,0.0,1.0,62.7,62.7,62.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ASD18792788872
M416,40,0.125,0.0,29.803999999999995,25.79,34.41,1.0,0.0,2.0,0.0,2.0,0.0,0.0,BSK-Cholas
M16A4,24,0.042,0.0,48.62,48.62,48.62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,yukengkengkeng
SKS,9,0.222,0.0,54.745,52.55,56.94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,yukengkengkeng
Beryl M762,22,0.045,0.0,45.86,45.86,45.86,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bgy125259
Frag Grenade,3,0.667,0.3333333333333333,9.299999999999999,7.08,11.89,0.0,0.0,0.0,0.0,0.0,0.0,3.0,IlIlIlIlIlIl88
M416,172,0.081,0.2631578947368421,13.111578947368422,1.52,44.11,2.0,0.0,11.0,1.0,3.0,2.0,0.0,IlIlIlIlIlIl88
Mk12,37,0.135,0.0,190.126,97.77,214.31,0.0,0.0,4.0,1.0,0.0,0.0,0.0,IlIlIlIlIlIl88
AUG,75,0.04,0.0,33.84666666666667,11.05,45.67,0.0,0.0,3.0,0.0,0.0,0.0,0.0,LAegg
Mk12,9,0.111,0.0,201.81,201.81,201.81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LAegg
Beryl M762,24,0.042,0.0,13.46,13.46,13.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Gsy-LaoSix
M24,23,0.261,0.0,136.64666666666668,72.86,213.29,2.0,0.0,4.0,0.0,0.0,0.0,0.0,Gsy-LaoSix
Beryl M762,33,0.061,0.0,37.97,37.96,37.98,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Pushing_21
M416,18,0.278,0.2857142857142857,9.897142857142857,9.49,10.25,0.0,0.0,5.0,0.0,2.0,0.0,0.0,Pushing_21
ACE32,83,0.048,0.7647058823529411,17.976470588235294,12.18,25.86,3.0,0.0,7.0,3.0,1.0,3.0,0.0,Ash-0904
Frag Grenade,2,0.5,0.0,21.52,21.52,21.52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ash-0904
Mk12,39,0.128,0.0,64.11999999999999,51.66,71.47,0.0,0.0,4.0,0.0,0.0,1.0,0.0,Ash-0904
Vector,27,0.148,0.0,12.3,12.29,12.31,2.0,0.0,2.0,0.0,0.0,0.0,0.0,ERIC123PX333
MP5K,134,0.112,0.6875,5.1518749999999995,0.74,44.02,10.0,0.0,30.0,0.0,4.0,4.0,0.0,Xr6iMpZkRCJCE
Thompson,28,0.107,0.7692307692307693,4.039230769230769,3.32,5.44,1.0,0.0,7.0,0.0,3.0,2.0,0.0,Xr6iMpZkRCJCE
ACE32,36,0.083,0.0,100.56666666666666,99.02,101.63,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Here_QAQ
Mk14,39,0.179,0.36363636363636365,127.74272727272728,112.42,146.92,3.0,0.0,5.0,0.0,1.0,2.0,0.0,Here_QAQ
AKM,28,0.107,0.7,37.972,2.44,43.17,0.0,0.0,5.0,2.0,2.0,1.0,0.0,Deceive_Fairy
Beryl M762,10,0.1,0.5,6.785,5.53,8.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Shenghong31
MP5K,79,0.139,0.5217391304347826,12.890869565217391,4.74,39.67,3.0,0.0,11.0,0.0,4.0,5.0,0.0,Shenghong31
AKM,10,0.3,0.0,5.123333333333334,4.88,5.44,1.0,0.0,2.0,0.0,0.0,0.0,0.0,Axileather
AKM,43,0.116,0.4444444444444444,34.07888888888888,26.04,38.86,2.0,0.0,4.0,1.0,2.0,0.0,0.0,n1coindamood
Beryl M762,53,0.113,0.0,40.708333333333336,22.85,58.12,2.0,0.0,2.0,1.0,1.0,0.0,0.0,n1coindamood
AKM,55,0.091,0.2857142857142857,28.034285714285716,16.67,32.31,1.0,0.0,5.0,0.0,0.0,1.0,0.0,A-One-man-show
ACE32,40,0.05,0.0,43.2,42.82,43.58,0.0,0.0,1.0,0.0,0.0,1.0,0.0,e36qPEwTSX_Ue
Frag Grenade,2,0.5,0.0,48.35,48.35,48.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,e36qPEwTSX_Ue
M24,9,0.333,0.0,114.85666666666667,100.22,122.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,e36qPEwTSX_Ue
AUG,38,0.053,0.6666666666666666,20.546666666666667,14.91,31.82,1.0,0.0,5.0,0.0,0.0,0.0,0.0,ADAAAAAAk
MP5K,15,0.133,0.0,37.095,37.09,37.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,MieMie_owo
ACE32,64,0.062,0.3333333333333333,24.301666666666666,24.25,24.32,0.0,0.0,4.0,0.0,0.0,2.0,0.0,SerendipityNii
Frag Grenade,2,0.5,0.0,37.35,37.35,37.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SerendipityNii
Mk14,6,0.167,0.0,124.94,124.94,124.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SerendipityNii
SKS,25,0.12,0.0,309.6466666666667,205.53,511.31,1.0,0.0,1.0,0.0,0.0,1.0,0.0,SerendipityNii
SCAR-L,13,0.154,0.0,67.285,67.26,67.31,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Aimwy
AUG,118,0.246,0.5084745762711864,23.528983050847458,2.46,61.75,7.0,0.0,33.0,5.0,4.0,10.0,0.0,Bzao-Mr
Beryl M762,154,0.104,0.4074074074074074,26.730740740740742,8.47,57.45,5.0,0.0,16.0,3.0,1.0,2.0,0.0,Bzao-Mr
Frag Grenade,8,0.375,0.4,32.88,16.53,67.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Bzao-Mr
M24,16,0.125,0.0,113.37,88.01,138.73,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Bzao-Mr
M416,43,0.07,0.4,15.395999999999997,1.67,22.78,0.0,0.0,2.0,0.0,1.0,2.0,0.0,v4wXA4D0bQVYS
SKS,71,0.028,0.5,198.2075,116.32,249.05,0.0,0.0,1.0,1.0,1.0,1.0,0.0,YY--1234135
Kar98k,30,0.2,0.3333333333333333,123.14222222222222,88.27,172.42,5.0,0.0,4.0,0.0,0.0,0.0,0.0,AINTUE
MG3,188,0.069,0.1875,54.3075,4.51,99.67,4.0,0.0,9.0,0.0,1.0,2.0,0.0,AINTUE
Mk12,6,0.5,0.0,60.949999999999996,57.93,66.96,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Uogog
Frag Grenade,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,AtlantisSang
SCAR-L,13,0.231,0.4,31.012,30.88,31.38,0.0,0.0,4.0,1.0,0.0,0.0,0.0,AtlantisSang
Mini14,4,0.5,0.0,121.84,121.84,121.84,1.0,0.0,1.0,0.0,0.0,0.0,0.0,AllHellBrokeLoos
Kar98k,3,0.333,0.0,207.82,207.82,207.82,0.0,0.0,1.0,0.0,0.0,0.0,0.0,BanGBend
M249,17,0.0,1.0,24.21666666666667,24.07,24.41,1.0,0.0,0.0,0.0,0.0,2.0,0.0,BanGBend
Frag Grenade,1,2.0,0.0,63.010000000000005,62.07,63.95,0.0,0.0,0.0,0.0,0.0,0.0,2.0,HFW10000
M24,7,0.143,0.0,232.84,232.84,232.84,0.0,0.0,0.0,0.0,0.0,1.0,0.0,HFW10000
M249,182,0.077,0.391304347826087,25.69304347826087,3.36,57.56,5.0,0.0,16.0,0.0,0.0,2.0,0.0,HFW10000
AUG,97,0.103,0.7368421052631579,4.812105263157894,2.08,13.68,4.0,0.0,28.0,0.0,4.0,2.0,0.0,QTD_wangduy
ACE32,21,0.286,0.0,13.473333333333334,6.15,21.19,3.0,0.0,3.0,0.0,0.0,0.0,0.0,Raptor--R
Beryl M762,25,0.12,0.5714285714285714,3.1471428571428572,3.05,3.62,1.0,0.0,4.0,0.0,2.0,0.0,0.0,Raptor--R
MP5K,15,0.2,0.5,12.536666666666667,12.5,12.62,1.0,0.0,3.0,0.0,0.0,2.0,0.0,Raptor--R
Beryl M762,78,0.103,0.6521739130434783,11.17304347826087,6.07,22.96,1.0,0.0,13.0,3.0,1.0,5.0,0.0,xianghaoo
SKS,4,0.0,1.0,3.35,3.35,3.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,xianghaoo
Kar98k,3,0.333,0.0,279.98,279.98,279.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MANGDAYZ
M416,80,0.025,0.6,10.654,9.5,11.88,0.0,0.0,1.0,4.0,0.0,0.0,0.0,MANGDAYZ
AUG,30,0.067,0.0,25.34,25.34,25.34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,DA-DA_bingge
Mk14,40,0.075,0.0,74.62333333333333,53.91,84.98,0.0,0.0,1.0,1.0,0.0,1.0,0.0,DA-DA_bingge
Beryl M762,181,0.006,0.75,21.215,20.61,22.31,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5843-_
Frag Grenade,2,0.5,0.5,54.67,53.96,55.38,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5843-_
Kar98k,22,0.091,0.5,140.35999999999999,59.9,193.66,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5843-_
Beryl M762,47,0.128,0.0,28.71166666666667,20.78,36.64,2.0,0.0,3.0,0.0,1.0,0.0,0.0,DM-DaiMao
MP5K,97,0.021,0.0,30.29,30.29,30.29,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24Super_Dish512
AUG,13,0.0,1.0,6.2316666666666665,6.05,6.61,0.0,0.0,1.0,0.0,4.0,1.0,0.0,haituntiyan
AKM,49,0.061,0.625,35.7175,29.15,63.49,2.0,0.0,4.0,0.0,1.0,1.0,0.0,Bili_1803
M24,4,0.25,0.0,57.41,57.41,57.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bili_1803
M416,30,0.2,0.0,24.55333333333333,2.93,46.26,2.0,0.0,3.0,1.0,0.0,0.0,0.0,Bili_1803
Mk12,11,0.091,0.0,87.62,87.62,87.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,EMS_Clown_
M24,2,0.5,0.0,22.6,22.6,22.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BBWatemelon
MP5K,133,0.09,0.25,29.453125,22.97,37.88,0.0,0.0,5.0,7.0,1.0,3.0,0.0,H-King888
Mini14,60,0.0,1.0,195.00333333333333,194.76,195.35,0.0,0.0,3.0,0.0,0.0,0.0,0.0,H-King888
ACE32,14,0.071,0.0,39.31,39.31,39.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,G-Y-wu-yan-zhu
Frag Grenade,1,1.0,0.0,58.55,58.55,58.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,JJJ1h
M416,20,0.15,0.0,36.17,36.17,36.17,1.0,0.0,1.0,0.0,0.0,1.0,0.0,JJJ1h
Mk12,49,0.041,0.0,208.76999999999998,203.45,214.09,0.0,0.0,0.0,1.0,1.0,0.0,0.0,JJJ1h
AUG,9,0.222,0.0,3.3099999999999996,3.28,3.34,0.0,0.0,2.0,0.0,0.0,0.0,0.0,jdgqljykjf
Beryl M762,93,0.172,0.38461538461538464,28.022307692307695,7.72,68.81,6.0,0.0,12.0,3.0,1.0,4.0,0.0,DouYinSouErGou
Frag Grenade,5,0.4,0.6,45.804,22.94,63.49,0.0,0.0,0.0,0.0,0.0,0.0,5.0,DouYinSouErGou
M24,4,0.25,0.5,112.065,70.93,153.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,DouYinSouErGou
Mk12,8,0.125,0.0,189.13,189.13,189.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DouYinSouErGou
SKS,32,0.188,0.3333333333333333,64.52444444444444,57.57,70.68,1.0,0.0,6.0,1.0,0.0,1.0,0.0,DouYinSouErGou
Beryl M762,27,0.037,0.0,12.22,12.22,12.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,WOKEYAI
Frag Grenade,1,2.0,0.3333333333333333,45.776666666666664,44.41,47.85,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WOKEYAI
M24,10,0.2,0.0,152.68,111.33,194.03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,WOKEYAI
ACE32,46,0.087,0.6,24.779,18.7,27.34,2.0,0.0,3.0,1.0,3.0,1.0,0.0,acquy_36
AKM,9,0.333,0.25,40.447500000000005,40.11,40.85,0.0,0.0,2.0,1.0,1.0,0.0,0.0,Lcccccccc
M24,1,0.0,1.0,23.93,23.93,23.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Lcccccccc
M24,4,0.25,0.0,156.64,156.64,156.64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,SwaggyLee0
Mk12,14,0.071,0.0,94.17,94.17,94.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,HuYa_WJR
ACE32,23,0.174,0.42857142857142855,18.93142857142857,18.72,19.66,0.0,0.0,1.0,2.0,1.0,3.0,0.0,Des668
MP5K,182,0.016,0.6666666666666666,26.235555555555557,21.07,37.02,0.0,0.0,5.0,0.0,0.0,4.0,0.0,LDXJY10086
SKS,10,0.3,0.0,78.46666666666665,76.32,81.23,0.0,0.0,1.0,0.0,1.0,1.0,0.0,LDXJY10086
ACE32,30,0.067,0.0,71.955,68.72,75.19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Saki_Ty
Beryl M762,16,0.188,0.6666666666666666,12.06,4.78,15.63,0.0,0.0,4.0,1.0,0.0,4.0,0.0,Sunshine-killer-
